com_insee,com_nom,reg_nom,dep_nom,latitude_mairie,longitude_mairie,score_de_ville
21057,Beire-le-Fort,Bourgogne-Franche-Comté,Côte-d'Or,47.238,5.261,0.3086953146066806
21523,Reulle-Vergy,Bourgogne-Franche-Comté,Côte-d'Or,47.188,4.897,0.2976617952405633
21164,Chazilly,Bourgogne-Franche-Comté,Côte-d'Or,47.183,4.582,0.3423555478579149
21040,Avosnes,Bourgogne-Franche-Comté,Côte-d'Or,47.368,4.633,0.3243989585089636
21114,Buffon,Bourgogne-Franche-Comté,Côte-d'Or,47.657,4.275,0.3329216010767608
21303,Les Goulles,Bourgogne-Franche-Comté,Côte-d'Or,47.878,4.906,0.3039251582697689
21270,Flavignerot,Bourgogne-Franche-Comté,Côte-d'Or,47.278,4.918,0.2947497911139511
21583,Santosse,Bourgogne-Franche-Comté,Côte-d'Or,47.007,4.634,0.3173104753707431
21243,Écutigny,Bourgogne-Franche-Comté,Côte-d'Or,47.084,4.623,0.3320889541990672
21372,Maisey-le-Duc,Bourgogne-Franche-Comté,Côte-d'Or,47.845,4.676,0.3271936429500558
21504,Prâlon,Bourgogne-Franche-Comté,Côte-d'Or,47.31,4.775,0.3203508841430747
21542,Saint-Bernard,Bourgogne-Franche-Comté,Côte-d'Or,47.16,5.024,0.2935112769621606
21381,Marcilly-et-Dracy,Bourgogne-Franche-Comté,Côte-d'Or,47.405,4.496,0.3322817258347184
21672,Vesvres,Bourgogne-Franche-Comté,Côte-d'Or,47.376,4.529,0.327242434874826
21066,Bessey-la-Cour,Bourgogne-Franche-Comté,Côte-d'Or,47.103,4.605,0.3320889541990672
21379,Marcheseuil,Bourgogne-Franche-Comté,Côte-d'Or,47.145,4.372,0.314842139425769
21052,Beaulieu,Bourgogne-Franche-Comté,Côte-d'Or,47.726,4.733,0.3282807414592766
21350,Lignerolles,Bourgogne-Franche-Comté,Côte-d'Or,47.902,4.888,0.3250260135422625
21348,Licey-sur-Vingeanne,Bourgogne-Franche-Comté,Côte-d'Or,47.487,5.373,0.3079969176120404
21162,Chaux,Bourgogne-Franche-Comté,Côte-d'Or,47.127,4.907,0.3162931148459929
21597,Segrois,Bourgogne-Franche-Comté,Côte-d'Or,47.161,4.893,0.3025954167062832
21030,Aubaine,Bourgogne-Franche-Comté,Côte-d'Or,47.13,4.734,0.308066907234541
21529,Roilly,Bourgogne-Franche-Comté,Côte-d'Or,47.417,4.341,0.330735082284065
21471,Orret,Bourgogne-Franche-Comté,Côte-d'Or,47.609,4.702,0.3331824985170427
21113,Broindon,Bourgogne-Franche-Comté,Côte-d'Or,47.196,5.04,0.3135653828152636
21070,Bévy,Bourgogne-Franche-Comté,Côte-d'Or,47.182,4.84,0.3140438761633386
21677,Vic-des-Prés,Bourgogne-Franche-Comté,Côte-d'Or,47.109,4.636,0.3269295228430252
21457,Noidan,Bourgogne-Franche-Comté,Côte-d'Or,47.347,4.41,0.3241990401681428
21685,Villaines-en-Duesmois,Bourgogne-Franche-Comté,Côte-d'Or,47.687,4.52,0.3565245564585994
21238,Échannay,Bourgogne-Franche-Comté,Côte-d'Or,47.281,4.68,0.3278908335637761
21044,Balot,Bourgogne-Franche-Comté,Côte-d'Or,47.82,4.443,0.3463015513885722
21287,Fresnes,Bourgogne-Franche-Comté,Côte-d'Or,47.61,4.439,0.3213338257443124
21526,Rochefort-sur-Brévon,Bourgogne-Franche-Comté,Côte-d'Or,47.741,4.706,0.3271196362757153
21506,Premeaux-Prissey,Bourgogne-Franche-Comté,Côte-d'Or,47.105,4.943,0.3152118757014714
21233,Drambon,Bourgogne-Franche-Comté,Côte-d'Or,47.334,5.378,0.3155653994960428
21026,Asnières-en-Montagne,Bourgogne-Franche-Comté,Côte-d'Or,47.713,4.293,0.3448802321055822
21641,Touillon,Bourgogne-Franche-Comté,Côte-d'Or,47.659,4.437,0.3520625493865318
21078,Bissey-la-Pierre,Bourgogne-Franche-Comté,Côte-d'Or,47.843,4.426,0.3440419400462205
21230,Diénay,Bourgogne-Franche-Comté,Côte-d'Or,47.522,5.06,0.3156044535339466
